Date [year/month];Area flux [km^2/day];Standard deviation area flux;Number of days for area flux;Volume transport [km^3/day];Standard deviation volume transport;Number of days for volume transport
;;;;;;
1992/06;-42618;68972;30;-176;280;30
;;;;;;
1992/07;3424;16293;31;14;72;31
;;;;;;
1992/08;-4667;35331;31;-20;163;31
;;;;;;
1992/09;688;33801;30;-4;128;30
;;;;;;
1992/10;-74641;55062;31;-229;204;31
;;;;;;
1992/11;-81828;82263;30;-235;224;30
;;;;;;
1992/12;-135296;84110;31;-357;241;31
;;;;;;
1993/01;-164416;79715;29;-449;232;29
;;;;;;
1993/02;-145580;102405;28;-375;284;28
;;;;;;
1993/03;-161393;94628;31;-436;266;31
;;;;;;
1993/04;-96287;76667;30;-269;193;30
;;;;;;
1993/05;-83575;62901;31;-248;205;31
;;;;;;
1993/06;-1420;35910;30;-1;138;30
;;;;;;
1993/07;-11317;37546;31;-157;94;31
;;;;;;
1993/08;9102;28812;31;24;147;31
;;;;;;
1993/09;-10616;33991;30;0;155;30
;;;;;;
1993/10;-70223;84263;31;-175;272;31
;;;;;;
1993/11;-2557;113661;30;1;315;30
;;;;;;
1993/12;-165270;112322;31;-385;275;31
;;;;;;
1994/01;-170374;64334;31;-403;162;31
;;;;;;
1994/02;-54049;101922;28;-105;204;28
;;;;;;
1994/03;-184505;85536;31;-523;231;31
;;;;;;
1994/04;-117683;62936;30;-356;204;30
;;;;;;
1994/05;-57268;57286;31;-181;202;31
;;;;;;
1994/06;-47515;66668;30;-149;234;30
;;;;;;
1994/07;-12279;34523;31;-44;113;31
;;;;;;
1994/08;-15562;33331;31;-45;88;31
;;;;;;
1994/09;-70777;51594;30;-213;142;30
;;;;;;
1994/10;-133352;96522;31;-430;286;31
;;;;;;
1994/11;-97990;83749;27;-343;312;27
;;;;;;
1994/12;-182645;89160;31;-647;324;31
;;;;;;
1995/01;-190007;75103;31;-492;210;31
;;;;;;
1995/02;-162137;94961;28;-494;337;28
;;;;;;
1995/03;-159782;88889;31;-535;306;31
;;;;;;
1995/04;-155557;115636;30;-553;391;30
;;;;;;
1995/05;-33980;62046;29;-123;203;29
;;;;;;
1995/06;6750;15426;30;20;41;30
;;;;;;
1995/07;-28930;28657;31;-92;86;31
;;;;;;
1995/08;-23722;36891;31;NaN;NaN;31
;;;;;;
1995/09;-77547;69819;30;NaN;NaN;30
;;;;;;
1995/10;-88774;58059;31;NaN;NaN;31
;;;;;;
1995/11;-82308;64981;30;NaN;NaN;30
;;;;;;
1995/12;-119250;103628;31;NaN;NaN;31
;;;;;;
1996/01;-73793;109642;31;NaN;NaN;31
;;;;;;
1996/02;-105641;127709;29;NaN;NaN;29
;;;;;;
1996/03;-102654;122936;31;NaN;NaN;31
;;;;;;
1996/04;-98820;129115;30;NaN;NaN;30
;;;;;;
1996/05;-44156;66917;30;NaN;NaN;30
;;;;;;
1996/06;7832;30444;30;NaN;NaN;30
;;;;;;
1996/07;17743;22956;31;NaN;NaN;31
;;;;;;
1996/08;7116;15313;31;NaN;NaN;31
;;;;;;
1996/09;-10789;18319;30;-36;42;30
;;;;;;
1996/10;-139956;121806;31;-360;337;31
;;;;;;
1996/11;-158369;88648;29;-480;301;29
;;;;;;
1996/12;-96792;64837;30;-297;206;30
;;;;;;
1997/01;-133025;115556;31;-379;356;31
;;;;;;
1997/02;-93251;63183;28;-339;238;28
;;;;;;
1997/03;-107061;104873;31;-404;403;31
;;;;;;
1997/04;-122647;82875;30;-494;373;30
;;;;;;
1997/05;-47777;69520;31;-212;314;31
;;;;;;
1997/06;-660;49914;30;0;228;30
;;;;;;
1997/07;25684;26990;31;73;100;31
;;;;;;
1997/08;4039;24119;31;3;40;31
;;;;;;
1997/09;-39077;39080;30;-85;93;30
;;;;;;
1997/10;-100427;73742;31;-326;240;31
;;;;;;
1997/11;-72135;49441;30;-238;162;30
;;;;;;
1997/12;-102609;126695;31;-305;455;31
;;;;;;
1998/01;-112508;66578;31;-403;234;31
;;;;;;
1998/02;-129259;95907;28;-383;276;28
;;;;;;
1998/03;-134746;115385;29;-578;342;29
;;;;;;
1998/04;-35575;74581;30;-141;267;30
;;;;;;
1998/05;-70559;54143;31;-211;179;31
;;;;;;
1998/06;-473;45564;30;-10;172;30
;;;;;;
1998/07;-11233;33477;31;-48;140;31
;;;;;;
1998/08;17517;37031;31;59;134;31
;;;;;;
1998/09;-6387;25331;30;-2;42;30
;;;;;;
1998/10;-106462;73163;31;-289;190;31
;;;;;;
1998/11;-86515;95909;30;-276;318;30
;;;;;;
1998/12;-154143;87719;31;-371;241;31
;;;;;;
1999/01;-136989;77604;31;-309;177;31
;;;;;;
1999/02;-153899;87384;28;-376;254;28
;;;;;;
1999/03;-141829;73528;31;-375;195;31
;;;;;;
1999/04;-126364;64824;30;-338;187;30
;;;;;;
1999/05;-25526;78540;31;-70;262;31
;;;;;;
1999/06;-1032;30819;30;-5;122;30
;;;;;;
1999/07;-25023;23338;31;-97;89;31
;;;;;;
1999/08;-4877;29995;31;-23;121;31
;;;;;;
1999/09;-48435;44822;30;-203;146;30
;;;;;;
1999/10;-86811;50267;31;-253;192;31
;;;;;;
1999/11;-158975;129438;30;-341;434;30
;;;;;;
1999/12;-142675;89712;31;-532;272;31
;;;;;;
2000/01;-178377;83280;31;-470;170;31
;;;;;;
2000/02;-141551;89905;29;-315;211;29
;;;;;;
2000/03;-194995;92369;31;-539;211;31
;;;;;;
2000/04;-110576;97738;30;-365;238;30
;;;;;;
2000/05;-88115;87589;31;-245;273;31
;;;;;;
2000/06;-11436;25173;30;-30;86;30
;;;;;;
2000/07;4395;35082;31;4;119;31
;;;;;;
2000/08;3833;12327;31;13;32;31
;;;;;;
2000/09;-9641;19956;30;-26;44;30
;;;;;;
2000/10;-88412;59914;31;-225;150;31
;;;;;;
2000/11;-101213;66836;29;-315;218;29
;;;;;;
2000/12;-136029;75420;30;-445;290;30
;;;;;;
2001/01;-93309;109389;31;-300;366;31
;;;;;;
2001/02;-143910;148082;28;-358;423;28
;;;;;;
2001/03;-144332;70479;31;-337;196;31
;;;;;;
2001/04;-110415;90174;30;-224;205;30
;;;;;;
2001/05;-81631;79522;31;-164;165;31
;;;;;;
2001/06;-2599;48042;30;-39;17;30
;;;;;;
2001/07;719;37527;31;NaN;NaN;31
;;;;;;
2001/08;1758;12807;31;NaN;NaN;31
;;;;;;
2001/09;-9472;23117;30;NaN;NaN;30
;;;;;;
2001/10;-71149;82645;31;NaN;NaN;31
;;;;;;
2001/11;-157651;88239;30;NaN;NaN;30
;;;;;;
2001/12;-106622;119239;31;NaN;NaN;31
;;;;;;
2002/01;-121062;98143;31;NaN;NaN;31
;;;;;;
2002/02;-189917;97387;28;NaN;NaN;28
;;;;;;
2002/03;-135533;71347;31;NaN;NaN;31
;;;;;;
2002/04;-132760;103470;30;NaN;NaN;30
;;;;;;
2002/05;-26256;97625;31;NaN;NaN;31
;;;;;;
2002/06;-699;42609;30;NaN;NaN;30
;;;;;;
2002/07;9803;14627;28;NaN;NaN;28
;;;;;;
2002/08;226;967;24;NaN;NaN;24
;;;;;;
2002/09;-6056;11000;22;-11;20;22
;;;;;;
2002/10;-25664;81686;31;-23;88;31
;;;;;;
2002/11;-32804;64589;30;-44;93;30
;;;;;;
2002/12;-32072;108062;31;-85;173;31
;;;;;;
2003/01;-106175;80400;31;-254;191;31
;;;;;;
2003/02;-52250;61700;28;-151;178;28
;;;;;;
2003/03;-112940;61387;31;-375;195;31
;;;;;;
2003/04;-63421;51308;30;-229;199;30
;;;;;;
2003/05;-40781;34204;31;-159;143;31
;;;;;;
2003/06;-22668;32339;30;-88;152;30
;;;;;;
2003/07;-24230;43806;31;-58;134;31
;;;;;;
2003/08;5708;11899;31;8;27;31
;;;;;;
2003/09;-3350;11201;30;-6;18;30
;;;;;;
2003/10;-90784;69352;28;-195;153;28
;;;;;;
2003/11;-54853;42800;25;-240;201;25
;;;;;;
2003/12;-109934;45330;31;-450;184;31
;;;;;;
2004/01;-131449;59507;31;-324;185;31
;;;;;;
2004/02;-118043;68023;29;-316;201;29
;;;;;;
2004/03;-77371;67671;31;-201;188;31
;;;;;;
2004/04;-53044;61691;30;-191;183;30
;;;;;;
2004/05;-52650;57426;31;-190;189;31
;;;;;;
2004/06;-20095;28592;30;NaN;NaN;30
;;;;;;
2004/07;2152;31131;31;NaN;NaN;31
;;;;;;
2004/08;1641;5871;31;NaN;NaN;31
;;;;;;
2004/09;-10257;17131;30;-18;38;30
;;;;;;
2004/10;-77219;82948;31;-165;265;31
;;;;;;
2004/11;-123070;70881;28;-152;108;28
;;;;;;
2004/12;-142518;83842;31;-545;312;31
;;;;;;
2005/01;-104789;71674;31;-283;151;31
;;;;;;
2005/02;-85858;75150;28;-252;125;28
;;;;;;
2005/03;-91531;56011;31;-432;264;31
;;;;;;
2005/04;-61079;71734;30;-346;281;30
;;;;;;
2005/05;-58861;71229;31;-340;258;31
;;;;;;
2005/06;-15382;25076;30;-62;106;30
;;;;;;
2005/07;-14299;29907;31;-38;119;31
;;;;;;
2005/08;-26399;41845;31;-75;74;31
;;;;;;
2005/09;-67266;54514;30;-231;179;30
;;;;;;
2005/10;-94130;60096;31;-338;214;31
;;;;;;
2005/11;-133933;79003;28;-485;255;28
;;;;;;
2005/12;-52595;87695;31;-94;0;31
;;;;;;
2006/01;-64149;78067;31;-421;303;31
;;;;;;
2006/02;-80525;30496;28;-332;96;28
;;;;;;
2006/03;-109154;52397;31;-360;187;31
;;;;;;
2006/04;-52047;63707;30;-147;200;30
;;;;;;
2006/05;-44472;42135;31;-192;135;31
;;;;;;
2006/06;1935;38768;30;NaN;NaN;30
;;;;;;
2006/07;-10588;27075;31;NaN;NaN;31
;;;;;;
2006/08;-11385;18088;31;NaN;NaN;31
;;;;;;
2006/09;-46896;41523;30;-136;74;30
;;;;;;
2006/10;-74481;38083;31;-198;130;31
;;;;;;
2006/11;-94539;43629;28;-319;151;28
;;;;;;
2006/12;-95696;54940;31;-350;200;31
;;;;;;
2007/01;-125813;84032;31;-414;315;31
;;;;;;
2007/02;-38840;57313;28;-107;166;28
;;;;;;
2007/03;-84389;47385;31;-238;135;31
;;;;;;
2007/04;-86620;45317;30;-260;134;30
;;;;;;
